Temperature,Humidity,Light,Outlook,Outside_UV,Outside_Temp,Outside_Humidity,Month,Day,WeekDay,Hour,Occupancy
12,71,2,4,1,8.4,84,1,30,2,14,0
12,72,2,4,1,8.1,85,1,30,2,14,1
12,72,2,4,1,8.1,85,1,30,2,14,1
12,72,2,1,1,8.2,84,1,30,2,15,1
12,72,2,1,1,8.4,83,1,30,2,15,0
12,73,2,1,1,8.4,86,1,30,2,15,1
12,74,2,1,0,7.9,89,1,30,2,16,0
14,80,0,1,0,11.8,95,1,24,3,8,1
14,76,0,0,0,6.7,95,1,29,1,19,0
14,75,0,0,0,5.8,97,1,29,1,20,1
12,72,2,1,0,5.9,85,1,14,7,0,1
12,72,0,1,0,5.8,85,1,14,7,1,0
11,72,0,1,0,5.8,86,1,14,7,1,0
14,75,0,4,0,10,85,1,29,1,5,0
13,74,0,1,0,10,88,1,29,1,6,0
13,74,0,1,0,10,90,1,29,1,7,0
11,75,0,4,0,7.5,94,1,12,5,16,0
10,76,0,4,0,7.1,92,1,12,5,17,0
10,67,2,4,0,1.5,85,2,6,2,22,1
10,67,0,4,0,1.3,90,2,6,2,23,0
10,64,0,4,0,1.3,88,2,7,3,1,0
10,64,0,4,0,1.3,87,2,7,3,1,0
10,64,0,5,0,1.4,86,2,7,3,1,0
10,64,0,5,0,1.5,84,2,7,3,1,0
10,63,0,5,0,1.6,81,2,7,3,2,0
10,62,1,0,1,0.7,76,2,23,5,9,0
10,62,1,0,1,1.4,74,2,23,5,9,0
13,73,0,4,1,10.3,85,3,15,4,16,0
13,73,0,4,0,9.5,87,3,15,4,17,0
10,68,2,0,0,4.7,86,2,12,1,19,0
12,66,0,5,1,5.3,86,2,10,6,8,0
12,66,0,5,1,5.9,86,2,10,6,8,0
13,65,0,4,1,6.9,86,2,10,6,9,0
10,65,2,0,1,6,56,2,23,5,16,0
10,64,2,0,1,5.9,56,2,23,5,16,0
9,61,0,0,1,0.3,73,2,7,3,8,0
9,59,2,0,1,7.6,49,2,24,6,15,0
12,68,0,5,0,-0.2,99,1,30,2,7,0
9,66,1,0,2,5.4,54,2,24,6,12,1
9,58,2,0,2,5.6,54,2,24,6,12,1
12,70,1,4,1,6.8,93,3,5,1,12,0
10,70,0,6,1,5.9,97,2,14,3,14,0
10,71,0,6,0,6.1,98,2,14,3,15,0
10,70,0,1,0,7.4,88,2,8,4,17,0
10,71,0,1,0,7.3,85,2,8,4,18,1
11,72,2,1,0,7.4,85,2,8,4,19,0
11,71,2,1,0,7.4,85,2,8,4,19,0
11,70,2,1,0,7.3,84,2,8,4,19,0
11,70,2,1,0,7.3,84,2,8,4,19,0
11,70,2,1,0,7.3,83,2,8,4,20,1
11,70,2,1,0,7.3,84,2,8,4,20,1
11,63,2,0,0,0.5,78,2,22,4,21,0
11,61,0,0,0,0,76,2,22,4,22,0
11,67,2,5,0,5,80,2,12,1,22,0
11,67,2,5,0,5.1,87,2,12,1,23,1
11,67,2,5,0,4.9,85,2,12,1,23,0
11,68,0,5,0,6.1,79,2,13,2,2,1
9,62,0,7,0,-1,75,3,2,5,7,0
9,63,0,1,1,-0.6,85,3,2,5,10,1
12,67,0,0,0,4.6,73,2,11,7,5,0
12,66,0,0,0,4.4,72,2,11,7,6,0
12,67,0,0,0,3.4,80,2,11,7,7,0
12,67,0,0,0,3.3,80,2,11,7,7,0
12,67,0,0,1,3.4,81,2,11,7,8,0
13,69,2,5,0,5.7,97,3,5,1,23,1
11,68,2,0,2,10.3,64,2,16,5,11,0
10,70,0,1,0,7.5,88,2,8,4,17,0
10,70,0,1,0,7.4,87,2,8,4,17,0
11,73,2,1,0,7.3,85,2,8,4,19,1
11,73,2,1,0,7.4,85,2,8,4,19,1
11,72,2,1,0,7.4,85,2,8,4,19,0
11,70,2,1,0,7.3,84,2,8,4,20,1
11,72,0,1,0,7.1,84,1,14,7,23,0
11,72,2,1,0,7.2,85,1,15,1,0,0
11,72,0,1,0,7.9,89,1,15,1,1,0
11,72,0,1,0,8.5,89,1,15,1,1,0
11,73,0,1,0,8.7,90,1,15,1,2,0
14,70,0,0,0,2.4,97,1,30,2,1,0
9,70,0,6,1,4.8,91,3,3,6,14,0
10,69,0,6,1,5.4,83,2,14,3,9,0
10,69,0,6,1,4.6,91,2,14,3,11,0
10,69,0,6,1,4.9,93,2,14,3,11,0
10,69,0,6,1,4.9,93,2,14,3,12,1
13,73,0,1,0,9.4,94,1,23,2,4,0
13,73,0,6,0,9.5,94,1,23,2,4,0
13,73,0,6,0,9.5,95,1,23,2,4,0
13,74,0,6,0,9.2,98,1,23,2,6,0
13,73,0,6,0,9.7,99,1,23,2,7,0
13,66,1,5,1,10.1,60,2,15,4,14,0
13,67,2,5,1,9.8,58,2,15,4,14,0
13,67,0,0,1,8.6,61,2,15,4,16,0
13,66,0,0,0,7.9,66,2,15,4,16,1
13,73,0,4,0,9.3,80,3,14,3,18,0
13,73,0,5,0,9.4,79,3,14,3,18,0
13,72,0,4,0,9.4,79,3,14,3,18,0
13,73,0,4,0,9.4,79,3,14,3,18,0
13,73,2,6,0,7.6,92,3,14,3,22,1
13,72,2,6,0,7.6,93,3,14,3,22,1
13,73,2,6,0,7.5,93,3,14,3,22,1
13,69,1,5,1,0.6,99,1,30,2,9,0
12,69,2,0,1,4,94,1,30,2,10,0
13,72,2,6,0,7.3,95,3,15,4,0,0
15,81,0,4,0,3.4,81,1,7,7,0,0
14,82,0,5,0,2.9,82,1,7,7,1,0
14,78,2,5,1,3,83,1,7,7,9,0
14,74,0,5,1,9.7,89,3,15,4,14,0
13,72,0,0,0,7.7,90,2,15,4,7,0
9,65,0,1,0,2.7,95,3,3,6,2,0
9,65,0,1,0,2.4,95,3,3,6,3,0
9,65,0,1,0,2.4,95,3,3,6,3,0
13,73,0,6,0,8.7,87,3,14,3,21,0
13,72,0,6,0,8.5,88,3,14,3,21,0
13,73,0,6,0,8,90,3,14,3,21,0
13,72,2,6,0,7.6,93,3,14,3,22,1
14,76,0,6,0,10.6,99,1,23,2,8,0
11,67,2,0,0,3.7,68,2,22,4,18,1
11,67,0,0,0,3.3,69,2,22,4,18,0
13,72,2,4,0,8,95,3,16,5,2,0
8,48,1,5,2,1.5,51,2,27,2,12,0
8,50,0,4,1,1.7,53,2,27,2,13,1
8,51,0,4,1,1.2,54,2,27,2,14,1
13,67,2,5,2,9.6,72,3,6,2,13,0
12,68,0,0,0,3.7,88,1,19,5,19,1
9,64,2,5,1,3.7,59,2,6,2,13,0
9,63,2,5,1,3.5,56,2,6,2,13,1
14,68,0,4,0,2.7,97,1,27,6,1,1
14,68,0,5,0,2.5,97,1,27,6,1,0
14,68,0,5,0,2.3,97,1,27,6,1,1
9,60,1,0,1,2.7,66,2,7,3,10,0
8,49,0,5,0,-5.7,90,2,28,3,4,0
8,49,0,0,0,-5.9,91,2,28,3,6,0
8,49,0,0,0,-5.9,90,2,28,3,6,0
11,70,2,6,0,7,93,2,8,4,23,1
12,70,0,6,1,6.4,95,3,5,1,13,0
14,73,2,1,0,8.2,97,3,15,4,23,0
14,73,2,1,0,8.2,97,3,15,4,23,1
13,73,0,4,0,9.5,80,3,14,3,17,0
10,69,0,6,1,4.9,93,2,14,3,12,0
12,68,2,4,0,2.9,98,2,17,6,3,1
11,67,0,4,0,1.6,99,2,17,6,5,0
11,67,0,4,0,1.5,99,2,17,6,5,0
11,67,0,0,0,1.6,99,2,17,6,6,0
13,74,0,4,0,8.9,91,1,22,1,23,0
13,73,0,5,0,8.8,90,1,23,2,1,1
13,74,0,5,0,9.2,88,1,23,2,1,0
10,63,0,0,0,4.5,62,2,23,5,17,0
10,65,2,0,0,1.8,73,2,23,5,19,1
11,69,2,0,0,5.7,95,3,4,7,18,0
12,70,2,6,0,6.4,95,3,4,7,19,1
11,67,2,0,0,2.5,78,2,9,5,20,1
11,72,0,1,0,6.6,83,1,13,6,7,0
11,72,0,1,0,7,84,1,13,6,8,0
13,77,2,4,1,12.2,88,1,28,7,13,0
13,77,0,4,1,11.3,94,1,28,7,14,0
13,77,0,4,0,10.6,95,1,28,7,16,1
13,77,0,4,0,10.7,95,1,28,7,16,1
12,76,0,1,0,10.6,88,1,20,6,16,0
12,77,0,1,0,10.6,87,1,20,6,16,0
12,76,0,4,0,9.9,87,1,20,6,17,1
12,76,0,4,0,9.9,87,1,20,6,18,1
12,76,2,4,0,9.6,90,1,20,6,18,1
13,73,0,4,0,7.4,98,3,15,4,7,0
10,71,2,4,0,4,97,3,3,6,19,0
8,55,2,0,0,-2.3,81,2,27,2,19,0
14,75,0,1,1,10,91,1,29,1,9,0
14,75,0,1,1,10.1,91,1,29,1,9,0
14,75,1,1,1,10.6,90,1,29,1,10,1
12,68,2,4,0,2.8,97,2,17,6,3,1
12,68,2,4,0,2.5,98,2,17,6,4,1
