Temperature,Humidity,Light,Outlook,Outside_UV,Outside_Temp,Outside_Humidity,Month,Day,WeekDay,Hour,Occupancy,hr_before,hr_after
12,72,2,1,0,5.9,85,1,14,7,0,1,71,64
12,72,0,1,0,5.8,85,1,14,7,1,0,72,64
11,72,0,1,0,5.8,86,1,14,7,1,0,72,64
14,75,0,4,0,10,85,1,29,1,5,0,72,64
13,74,0,1,0,10,88,1,29,1,6,0,72,63
13,74,0,1,0,10,90,1,29,1,7,0,73,62
11,75,0,4,0,7.5,94,1,12,5,16,0,74,62
10,76,0,4,0,7.1,92,1,12,5,17,0,80,73
10,67,2,4,0,1.5,85,2,6,2,22,1,76,73
10,67,0,4,0,1.3,90,2,6,2,23,0,75,68
10,64,0,4,0,1.3,88,2,7,3,1,0,72,66
10,64,0,4,0,1.3,87,2,7,3,1,0,72,66
10,64,0,5,0,1.4,86,2,7,3,1,0,72,65
10,64,0,5,0,1.5,84,2,7,3,1,0,75,65
10,63,0,5,0,1.6,81,2,7,3,2,0,74,64
10,62,1,0,1,0.7,76,2,23,5,9,0,74,61
10,62,1,0,1,1.4,74,2,23,5,9,0,75,59
13,73,0,4,1,10.3,85,3,15,4,16,0,76,68
13,73,0,4,0,9.5,87,3,15,4,17,0,67,66
10,68,2,0,0,4.7,86,2,12,1,19,0,67,58
12,66,0,5,1,5.3,86,2,10,6,8,0,64,70
12,66,0,5,1,5.9,86,2,10,6,8,0,64,70
13,65,0,4,1,6.9,86,2,10,6,9,0,64,71
10,65,2,0,1,6,56,2,23,5,16,0,64,70
10,64,2,0,1,5.9,56,2,23,5,16,0,63,71
9,61,0,0,1,0.3,73,2,7,3,8,0,62,72
9,59,2,0,1,7.6,49,2,24,6,15,0,62,71
12,68,0,5,0,-0.2,99,1,30,2,7,0,73,70
9,66,1,0,2,5.4,54,2,24,6,12,1,73,70
9,58,2,0,2,5.6,54,2,24,6,12,1,68,70
12,70,1,4,1,6.8,93,3,5,1,12,0,66,70
10,70,0,6,1,5.9,97,2,14,3,14,0,66,63
10,71,0,6,0,6.1,98,2,14,3,15,0,65,61
10,70,0,1,0,7.4,88,2,8,4,17,0,65,67
10,71,0,1,0,7.3,85,2,8,4,18,1,64,67
11,72,2,1,0,7.4,85,2,8,4,19,0,61,67
11,71,2,1,0,7.4,85,2,8,4,19,0,59,68
11,70,2,1,0,7.3,84,2,8,4,19,0,68,62
11,70,2,1,0,7.3,84,2,8,4,19,0,66,63
11,70,2,1,0,7.3,83,2,8,4,20,1,58,67
11,70,2,1,0,7.3,84,2,8,4,20,1,70,66
11,63,2,0,0,0.5,78,2,22,4,21,0,70,67
11,61,0,0,0,0,76,2,22,4,22,0,71,67
11,67,2,5,0,5,80,2,12,1,22,0,70,67
11,67,2,5,0,5.1,87,2,12,1,23,1,71,69
11,67,2,5,0,4.9,85,2,12,1,23,0,72,68
11,68,0,5,0,6.1,79,2,13,2,2,1,71,70
9,62,0,7,0,-1,75,3,2,5,7,0,70,70
9,63,0,1,1,-0.6,85,3,2,5,10,1,70,73
12,67,0,0,0,4.6,73,2,11,7,5,0,70,73
12,66,0,0,0,4.4,72,2,11,7,6,0,70,72
