Month,Day,WeekDay,Hour,Minute,Occupancy
1,30,1,14,24,Empty
1,30,1,14,41,Occupied
1,30,1,14,46,Occupied
1,30,1,15,8,Occupied
1,30,1,15,14,Empty
1,30,1,15,47,Occupied
1,30,1,16,21,Empty
1,24,2,8,20,Occupied
1,29,0,19,59,Empty
1,29,0,20,56,Occupied
1,14,6,0,37,Occupied
1,14,6,1,25,Empty
1,14,6,1,38,Empty
1,29,0,5,29,Empty
1,29,0,6,18,Empty
1,29,0,7,0,Empty
1,12,4,16,0,Empty
1,12,4,17,27,Empty
2,6,1,22,58,Occupied
2,6,1,23,55,Empty
2,7,2,1,22,Empty
2,7,2,1,28,Empty
2,7,2,1,43,Empty
2,7,2,1,58,Empty
2,7,2,2,35,Empty
2,23,4,9,20,Empty
2,23,4,9,38,Empty
3,15,3,16,52,Empty
3,15,3,17,16,Empty
2,12,0,19,20,Empty
2,10,5,8,25,Empty
2,10,5,8,43,Empty
2,10,5,9,32,Empty
2,23,4,16,14,Empty
2,23,4,16,26,Empty
2,7,2,8,55,Empty
2,24,5,15,29,Empty
1,30,1,7,8,Empty
2,24,5,12,17,Occupied
2,24,5,12,27,Occupied
3,5,0,12,9,Empty
2,14,2,14,50,Empty
2,14,2,15,32,Empty
2,8,3,17,49,Empty
2,8,3,18,54,Occupied
2,8,3,19,34,Empty
2,8,3,19,40,Empty
2,8,3,19,52,Empty
2,8,3,19,58,Empty
2,8,3,20,49,Occupied
2,8,3,20,54,Occupied
2,22,3,21,46,Empty
2,22,3,22,44,Empty
2,12,0,22,55,Empty
2,12,0,23,12,Occupied
2,12,0,23,24,Empty
2,13,1,2,8,Occupied
3,2,4,7,40,Empty
3,2,4,10,32,Occupied
2,11,6,5,36,Empty
2,11,6,6,0,Empty
2,11,6,7,3,Empty
2,11,6,7,9,Empty
2,11,6,8,10,Empty
3,5,0,23,40,Occupied
2,16,4,11,49,Empty
2,8,3,17,24,Empty
2,8,3,17,37,Empty
2,8,3,19,5,Occupied
2,8,3,19,22,Occupied
2,8,3,19,28,Empty
2,8,3,20,9,Occupied
1,14,6,23,52,Empty
1,15,0,0,4,Empty
1,15,0,1,9,Empty
1,15,0,1,59,Empty
1,15,0,2,20,Empty
1,30,1,1,43,Empty
3,3,5,14,47,Empty
2,14,2,9,19,Empty
2,14,2,11,7,Empty
2,14,2,11,37,Empty
2,14,2,12,1,Occupied
1,23,1,4,4,Empty
1,23,1,4,33,Empty
1,23,1,4,43,Empty
1,23,1,6,44,Empty
1,23,1,7,19,Empty
2,15,3,14,1,Empty
2,15,3,14,13,Empty
2,15,3,16,32,Empty
2,15,3,16,58,Occupied
3,14,2,18,4,Empty
3,14,2,18,23,Empty
3,14,2,18,29,Empty
3,14,2,18,36,Empty
3,14,2,22,32,Occupied
3,14,2,22,49,Occupied
3,14,2,22,59,Occupied
1,30,1,9,16,Empty
1,30,1,10,47,Empty
3,15,3,0,17,Empty
1,7,6,0,17,Empty
1,7,6,1,19,Empty
1,7,6,9,32,Empty
3,1,3,23,5,Empty
3,1,3,23,23,Empty
3,15,3,14,57,Empty
2,15,3,7,49,Empty
3,3,5,2,13,Empty
3,3,5,3,31,Empty
3,3,5,3,50,Empty
3,14,2,21,13,Empty
3,14,2,21,19,Empty
3,14,2,21,37,Empty
3,14,2,22,54,Occupied
1,23,1,8,48,Empty
2,22,3,18,25,Occupied
2,22,3,18,43,Empty
3,16,4,2,7,Empty
2,27,1,12,56,Empty
2,27,1,13,14,Occupied
2,27,1,14,1,Occupied
3,6,1,13,4,Empty
1,19,4,19,13,Occupied
2,6,1,13,25,Empty
2,6,1,13,58,Occupied
1,27,5,1,3,Occupied
1,27,5,1,20,Empty
1,27,5,1,52,Occupied
2,7,2,10,25,Empty
2,28,2,4,46,Empty
2,28,2,6,46,Empty
2,28,2,6,52,Empty
2,8,3,23,15,Occupied
3,5,0,13,18,Empty
3,15,3,23,19,Empty
3,15,3,23,24,Occupied
3,14,2,17,28,Empty
2,14,2,12,7,Empty
2,17,5,3,47,Occupied
2,17,5,5,4,Empty
2,17,5,5,25,Empty
2,17,5,6,5,Empty
1,22,0,23,37,Empty
1,23,1,1,0,Occupied
1,23,1,1,40,Empty
2,23,4,17,15,Empty
2,23,4,19,31,Occupied
3,4,6,18,23,Empty
3,4,6,19,20,Occupied
2,9,4,20,54,Occupied
1,13,5,7,42,Empty
1,13,5,8,37,Empty
1,28,6,13,52,Empty
1,28,6,14,41,Empty
1,28,6,16,27,Occupied
1,28,6,16,55,Occupied
1,20,5,16,5,Empty
1,20,5,16,17,Empty
1,20,5,17,59,Occupied
1,20,5,18,4,Occupied
1,20,5,18,52,Occupied
3,15,3,7,8,Empty
3,3,5,19,14,Empty
2,27,1,19,43,Empty
1,29,0,9,9,Empty
1,29,0,9,39,Empty
1,29,0,10,34,Occupied
2,17,5,3,52,Occupied
2,17,5,4,16,Occupied
2,17,5,4,31,Occupied
3,2,4,23,59,Empty
3,3,5,2,43,Empty
3,3,5,3,1,Empty
3,3,5,3,13,Empty
2,6,1,16,32,Empty
2,6,1,19,49,Occupied
2,6,1,19,54,Occupied
1,29,0,15,17,Empty
1,29,0,15,35,Empty
1,30,1,19,1,Occupied
2,13,1,17,9,Empty
2,13,1,19,19,Occupied
2,16,4,3,56,Empty
1,13,5,0,10,Occupied
1,13,5,0,21,Empty
1,13,5,0,45,Empty
1,13,5,1,9,Empty
1,13,5,2,14,Empty
3,2,4,18,1,Empty
3,2,4,18,14,Empty
3,1,3,11,32,Empty
1,27,5,0,47,Empty
1,27,5,2,40,Empty
2,24,5,21,19,Occupied
2,24,5,21,47,Occupied
3,1,3,13,37,Occupied
3,1,3,14,7,Empty
3,1,3,14,37,Empty
3,1,3,14,43,Empty
3,1,3,15,2,Empty
2,8,3,14,12,Empty
2,8,3,15,1,Empty
2,8,3,16,37,Empty
2,8,3,16,43,Empty
2,9,4,10,18,Occupied
1,20,5,2,9,Empty
1,20,5,3,5,Empty
1,20,5,3,52,Empty
1,20,5,4,0,Empty
1,21,6,15,20,Empty
1,21,6,15,26,Empty
1,21,6,16,2,Empty
1,29,0,21,35,Occupied
1,29,0,21,47,Empty
1,29,0,21,59,Empty
3,3,5,5,39,Empty
3,3,5,5,47,Empty
3,3,5,6,42,Empty
1,7,6,21,45,Empty
1,27,5,22,30,Empty
1,28,6,2,33,Empty
1,28,6,3,6,Occupied
2,16,4,7,27,Empty
1,19,4,19,19,Empty
1,19,4,19,50,Empty
1,19,4,19,56,Empty
1,19,4,20,26,Empty
1,19,4,22,21,Empty
3,1,3,14,1,Empty
3,1,3,15,56,Empty
3,1,3,16,20,Empty
3,1,3,16,26,Empty
3,1,3,17,36,Empty
3,15,3,20,49,Empty
2,8,3,21,5,Empty
2,8,3,22,1,Occupied
2,9,4,0,42,Empty
2,9,4,1,0,Empty
2,9,4,1,18,Empty
2,9,4,1,37,Empty
2,9,4,2,2,Empty
2,28,2,3,19,Empty
2,28,2,4,30,Empty
2,28,2,5,18,Empty
2,28,2,5,43,Empty
2,9,4,16,9,Occupied
2,9,4,16,14,Occupied
2,9,4,16,32,Empty
2,9,4,16,56,Empty
2,9,4,18,15,Occupied
2,9,4,18,42,Empty
2,9,4,18,58,Occupied
2,9,4,19,26,Empty
2,12,0,13,44,Occupied
2,28,2,8,5,Empty
1,13,5,7,17,Empty
2,8,3,5,53,Empty
2,8,3,6,0,Empty
2,8,3,7,41,Empty
2,8,3,11,25,Occupied
3,1,3,9,36,Empty
3,1,3,11,7,Empty
3,1,3,11,13,Empty
3,1,3,12,53,Occupied
3,5,0,16,15,Empty
2,28,2,10,0,Empty
2,28,2,10,25,Empty
3,15,3,11,39,Empty
2,11,6,9,34,Empty
2,11,6,9,40,Empty
3,1,3,21,13,Occupied
3,1,3,22,5,Empty
3,1,3,22,41,Empty
3,1,3,23,11,Empty
3,2,4,0,54,Empty
2,15,3,5,3,Empty
2,7,2,23,3,Empty
1,28,6,20,23,Empty
2,17,5,7,4,Occupied
2,11,6,13,59,Occupied
2,11,6,14,51,Empty
2,11,6,15,16,Empty
2,13,1,1,28,Occupied
2,13,1,4,16,Occupied
1,22,0,18,20,Occupied
1,22,0,19,41,Occupied
1,22,0,21,15,Occupied
1,22,0,21,30,Occupied
2,9,4,7,8,Empty
2,10,5,9,1,Empty
2,10,5,10,47,Empty
2,28,2,11,43,Empty
2,28,2,11,50,Empty
2,16,4,7,33,Empty
1,29,0,21,1,Occupied
1,29,0,22,35,Empty
1,23,1,7,2,Empty
3,6,1,7,49,Empty
1,12,4,16,12,Empty
1,12,4,16,31,Empty
1,12,4,17,14,Empty
1,12,4,17,46,Empty
1,12,4,18,31,Empty
1,12,4,18,46,Occupied
1,13,5,16,23,Empty
2,9,4,14,18,Empty
2,9,4,15,15,Empty
1,22,0,18,43,Occupied
1,22,0,18,48,Occupied
1,22,0,21,35,Occupied
1,23,1,0,16,Empty
3,5,0,22,23,Occupied
3,5,0,22,57,Occupied
1,27,5,4,28,Empty
1,27,5,5,3,Empty
2,13,1,20,4,Empty
2,13,1,20,20,Occupied
1,26,4,14,49,Occupied
2,10,5,23,49,Empty
2,10,5,23,54,Occupied
2,11,6,0,6,Empty
2,11,6,1,40,Occupied
2,11,6,2,0,Empty
3,2,4,16,56,Occupied
1,29,0,14,13,Empty
1,20,5,9,25,Empty
2,14,2,19,28,Empty
2,14,2,19,56,Occupied
2,14,2,20,47,Empty
2,14,2,21,11,Occupied
3,15,3,9,45,Empty
2,8,3,18,59,Occupied
2,8,3,19,16,Empty
2,8,3,20,37,Occupied
2,8,3,21,10,Occupied
1,20,5,12,53,Occupied
1,20,5,14,27,Occupied
1,20,5,15,21,Occupied
2,23,4,12,1,Occupied
3,15,3,0,57,Empty
2,9,4,6,18,Empty
1,28,6,15,52,Empty
3,5,0,8,7,Empty
2,9,4,15,21,Empty
2,9,4,16,26,Empty
2,9,4,17,32,Empty
3,1,3,9,6,Empty
1,26,4,21,18,Occupied
2,28,2,1,2,Empty
2,28,2,1,8,Empty
2,28,2,1,19,Occupied
2,28,2,2,10,Occupied
2,28,2,2,27,Empty
3,6,1,9,7,Empty
3,5,0,3,48,Empty
1,29,0,20,10,Occupied
1,29,0,20,16,Empty
1,29,0,21,13,Occupied
1,29,0,22,17,Occupied
1,29,0,22,59,Empty
3,14,2,16,3,Empty
2,9,4,2,39,Empty
1,13,5,5,45,Empty
1,27,5,11,4,Empty
1,27,5,11,41,Empty
1,27,5,11,59,Empty
1,27,5,13,5,Empty
1,27,5,13,40,Empty
1,13,5,9,7,Empty
1,13,5,10,49,Empty
1,13,5,11,33,Occupied
1,15,0,11,50,Empty
1,15,0,11,56,Empty
1,15,0,12,42,Occupied
1,15,0,13,13,Empty
1,15,0,14,18,Empty
1,15,0,15,1,Empty
3,1,3,0,38,Empty
3,1,3,1,2,Occupied
3,1,3,1,8,Empty
2,12,0,16,17,Empty
2,12,0,17,44,Empty
2,14,2,20,12,Occupied
2,14,2,20,18,Empty
2,14,2,20,41,Occupied
2,11,6,14,4,Occupied
3,1,3,3,33,Empty
2,28,2,8,23,Empty
1,29,0,22,23,Empty
1,29,0,22,29,Empty
1,29,0,22,53,Empty
2,15,3,8,1,Empty
1,30,1,12,49,Empty
1,30,1,13,1,Empty
1,30,1,13,7,Empty
1,30,1,13,48,Empty
1,30,1,13,54,Occupied
1,30,1,14,6,Empty
3,5,0,8,56,Empty
3,5,0,9,14,Empty
3,5,0,9,26,Empty
3,5,0,9,38,Empty
3,5,0,9,50,Empty
3,5,0,10,9,Empty
3,5,0,10,57,Empty
2,27,1,19,2,Empty
2,27,1,19,32,Empty
2,27,1,21,5,Empty
2,27,1,21,53,Empty
3,6,1,2,3,Occupied
3,6,1,3,46,Empty
1,30,1,6,5,Empty
1,30,1,6,55,Empty
3,15,3,13,39,Empty
1,7,6,16,55,Empty
1,7,6,18,1,Empty
1,7,6,19,2,Empty
1,7,6,21,14,Empty
1,7,6,22,9,Empty
1,7,6,22,15,Empty
1,15,0,6,40,Empty
1,15,0,7,22,Empty
2,10,5,12,28,Empty
2,10,5,14,11,Empty
2,10,5,14,18,Empty
1,15,0,16,19,Empty
1,15,0,17,51,Empty
1,15,0,19,4,Empty
1,15,0,19,16,Occupied
1,20,5,17,48,Empty
1,20,5,19,2,Occupied
3,16,4,1,25,Empty
3,16,4,2,55,Empty
3,16,4,3,2,Empty
3,16,4,3,8,Empty
1,6,5,9,52,Occupied
1,6,5,12,51,Empty
2,7,2,7,12,Empty
2,7,2,8,6,Empty
3,4,6,10,40,Empty
3,4,6,10,58,Empty
3,3,5,19,45,Empty
3,3,5,19,57,Empty
3,3,5,20,55,Occupied
3,3,5,21,31,Occupied
3,3,5,21,41,Occupied
1,27,5,6,8,Empty
1,27,5,6,22,Empty
1,27,5,3,15,Empty
1,27,5,3,51,Empty
1,27,5,3,57,Empty
1,27,5,5,30,Empty
2,28,2,12,2,Empty
3,3,5,7,54,Empty
3,3,5,8,49,Empty
2,16,4,8,9,Empty
2,16,4,8,45,Empty
2,16,4,9,34,Empty
2,16,4,10,15,Empty
2,16,4,10,20,Occupied
2,16,4,10,56,Empty
3,16,4,8,54,Empty
3,16,4,9,0,Empty
2,7,2,6,1,Empty
2,7,2,6,52,Empty
2,7,2,7,18,Empty
2,7,2,8,24,Empty
2,7,2,8,49,Empty
3,3,5,19,51,Empty
3,3,5,22,23,Occupied
3,3,5,23,1,Occupied
1,29,0,15,41,Empty
1,29,0,15,47,Empty
3,5,0,4,50,Empty
1,23,1,20,56,Occupied
1,23,1,21,7,Occupied
1,23,1,21,45,Occupied
1,23,1,22,6,Occupied
2,8,3,12,35,Occupied
1,5,4,12,59,Occupied
1,5,4,14,54,Empty
1,5,4,15,6,Empty
1,5,4,15,49,Empty
1,5,4,16,34,Empty
2,23,4,10,23,Occupied
3,15,3,15,46,Empty
3,15,3,16,46,Empty
3,15,3,21,52,Occupied
1,15,0,19,45,Occupied
1,15,0,19,50,Occupied
1,15,0,19,56,Empty
1,15,0,20,20,Empty
1,15,0,20,57,Empty
1,15,0,22,44,Empty
1,15,0,23,38,Empty
3,14,2,16,21,Empty
1,22,0,13,5,Empty
1,22,0,13,12,Empty
1,22,0,15,2,Occupied
3,3,5,10,50,Empty
3,3,5,10,56,Empty
3,3,5,11,15,Empty
3,3,5,11,21,Empty
2,6,1,14,56,Occupied
2,13,1,5,41,Occupied
2,13,1,6,7,Occupied
3,2,4,23,11,Empty
3,2,4,23,23,Empty
3,2,4,23,29,Empty
3,3,5,0,54,Empty
3,15,3,11,57,Empty
1,23,1,10,13,Empty
1,23,1,11,7,Empty
1,23,1,11,19,Empty
2,14,2,16,26,Empty
2,14,2,17,32,Occupied
3,5,0,10,51,Empty
3,5,0,11,9,Empty
1,23,1,12,2,Empty
1,23,1,12,44,Empty
2,14,2,4,41,Empty
1,19,4,20,2,Empty
1,30,1,2,55,Empty
1,30,1,5,22,Empty
2,24,5,5,2,Empty
2,24,5,5,23,Occupied
2,24,5,5,55,Empty
2,24,5,6,34,Empty
1,28,6,23,50,Empty
1,29,0,0,23,Empty
1,29,0,0,50,Empty
1,29,0,0,57,Empty
1,29,0,1,25,Empty
1,29,0,2,42,Empty
3,15,3,22,37,Empty
1,23,1,4,24,Empty
1,23,1,5,11,Empty
1,23,1,5,49,Empty
2,8,3,10,5,Occupied
2,8,3,10,58,Empty
2,8,3,12,30,Empty
2,8,3,12,41,Empty
2,8,3,13,5,Empty
2,8,3,13,18,Empty
3,16,4,1,12,Empty
1,30,1,9,59,Empty
1,23,1,22,21,Occupied
1,7,6,10,45,Empty
1,7,6,13,11,Empty
1,7,6,15,25,Empty
1,7,6,15,48,Empty
1,7,6,16,7,Empty
1,7,6,18,19,Empty
1,7,6,19,20,Empty
1,7,6,20,9,Empty
1,7,6,20,27,Empty
1,7,6,20,50,Empty
1,7,6,21,20,Empty
2,15,3,8,37,Empty
3,14,2,20,20,Empty
2,11,6,9,28,Empty
2,11,6,9,52,Empty
1,23,1,11,37,Empty
3,16,4,6,16,Empty
1,19,4,22,33,Empty
1,19,4,22,40,Empty
1,19,4,22,46,Empty
1,19,4,23,15,Occupied
1,19,4,23,30,Empty
1,20,5,2,25,Empty
1,20,5,3,28,Empty
1,20,5,3,44,Empty
2,14,2,16,20,Empty
2,14,2,17,15,Empty
2,6,1,19,32,Occupied
2,6,1,19,38,Empty
2,6,1,21,25,Empty
2,6,1,22,24,Empty
2,6,1,22,40,Occupied
2,14,2,18,26,Occupied
2,14,2,18,37,Occupied
2,14,2,18,59,Empty
2,14,2,19,33,Occupied
3,6,1,0,7,Occupied
3,6,1,0,59,Empty
3,6,1,1,34,Occupied
3,6,1,2,14,Occupied
3,6,1,2,30,Occupied
