Year,Month,Day,Hour,Minute,Occupancy
2018,1,30,14,24,Empty
2018,1,30,14,41,Occupied
2018,1,30,14,46,Occupied
2018,1,30,15,8,Occupied
2018,1,30,15,14,Empty
2018,1,30,15,47,Occupied
2018,1,30,16,21,Empty
2018,1,24,8,20,Occupied
2018,1,29,19,59,Empty
2018,1,29,20,56,Occupied
2018,1,14,0,37,Occupied
2018,1,14,1,25,Empty
2018,1,14,1,38,Empty
2018,1,29,5,29,Empty
2018,1,29,6,18,Empty
2018,1,29,7,0,Empty
2018,1,12,16,0,Empty
2018,1,12,17,27,Empty
2018,2,6,22,58,Occupied
2018,2,6,23,55,Empty
2018,2,7,1,22,Empty
2018,2,7,1,28,Empty
2018,2,7,1,43,Empty
2018,2,7,1,58,Empty
2018,2,7,2,35,Empty
2018,2,12,19,20,Empty
2018,2,10,8,25,Empty
2018,2,10,8,43,Empty
2018,2,10,9,32,Empty
2018,2,7,8,55,Empty
2018,1,30,7,8,Empty
2018,2,14,14,50,Empty
2018,2,14,15,32,Empty
2018,2,8,17,49,Empty
2018,2,8,18,54,Occupied
2018,2,8,19,34,Empty
2018,2,8,19,40,Empty
2018,2,8,19,52,Empty
2018,2,8,19,58,Empty
2018,2,8,20,49,Occupied
2018,2,8,20,54,Occupied
2018,2,12,22,55,Empty
2018,2,12,23,12,Occupied
2018,2,12,23,24,Empty
2018,2,13,2,8,Occupied
2018,2,11,5,36,Empty
2018,2,11,6,0,Empty
2018,2,11,7,3,Empty
2018,2,11,7,9,Empty
2018,2,11,8,10,Empty
2018,2,16,11,49,Empty
2018,2,8,17,24,Empty
2018,2,8,17,37,Empty
2018,2,8,19,5,Occupied
2018,2,8,19,22,Occupied
2018,2,8,19,28,Empty
2018,2,8,20,9,Occupied
2018,1,14,23,52,Empty
2018,1,15,0,4,Empty
2018,1,15,1,9,Empty
2018,1,15,1,59,Empty
2018,1,15,2,20,Empty
2018,1,30,1,43,Empty
2018,2,14,9,19,Empty
2018,2,14,11,7,Empty
2018,2,14,11,37,Empty
2018,2,14,12,1,Occupied
2018,1,23,4,4,Empty
2018,1,23,4,33,Empty
2018,1,23,4,43,Empty
2018,1,23,6,44,Empty
2018,1,23,7,19,Empty
2018,2,15,14,1,Empty
2018,2,15,14,13,Empty
2018,2,15,16,32,Empty
2018,2,15,16,58,Occupied
2018,1,30,9,16,Empty
2018,1,30,10,47,Empty
2018,1,7,0,17,Empty
2018,1,7,1,19,Empty
2018,1,7,9,32,Empty
2018,2,15,7,49,Empty
2018,1,23,8,48,Empty
2018,1,19,19,13,Occupied
2018,2,6,13,25,Empty
2018,2,6,13,58,Occupied
2018,1,27,1,3,Occupied
2018,1,27,1,20,Empty
2018,1,27,1,52,Occupied
2018,2,7,10,25,Empty
2018,2,8,23,15,Occupied
2018,2,14,12,7,Empty
2018,2,17,3,47,Occupied
2018,2,17,5,4,Empty
2018,2,17,5,25,Empty
2018,2,17,6,5,Empty
2018,1,22,23,37,Empty
2018,1,23,1,0,Occupied
2018,1,23,1,40,Empty
2018,2,9,20,54,Occupied
2018,1,13,7,42,Empty
2018,1,13,8,37,Empty
2018,1,28,13,52,Empty
2018,1,28,14,41,Empty
2018,1,28,16,27,Occupied
2018,1,28,16,55,Occupied
2018,1,20,16,5,Empty
2018,1,20,16,17,Empty
2018,1,20,17,59,Occupied
2018,1,20,18,4,Occupied
2018,1,20,18,52,Occupied
2018,1,29,9,9,Empty
2018,1,29,9,39,Empty
2018,1,29,10,34,Occupied
2018,2,17,3,52,Occupied
2018,2,17,4,16,Occupied
2018,2,17,4,31,Occupied
2018,2,6,16,32,Empty
2018,2,6,19,49,Occupied
2018,2,6,19,54,Occupied
2018,1,29,15,17,Empty
2018,1,29,15,35,Empty
2018,1,30,19,1,Occupied
2018,2,13,17,9,Empty
2018,2,13,19,19,Occupied
2018,2,16,3,56,Empty
2018,1,13,0,10,Occupied
2018,1,13,0,21,Empty
2018,1,13,0,45,Empty
2018,1,13,1,9,Empty
2018,1,13,2,14,Empty
2018,1,27,0,47,Empty
2018,1,27,2,40,Empty
2018,2,8,14,12,Empty
2018,2,8,15,1,Empty
2018,2,8,16,37,Empty
2018,2,8,16,43,Empty
2018,2,9,10,18,Occupied
2018,1,20,2,9,Empty
2018,1,20,3,5,Empty
2018,1,20,3,52,Empty
2018,1,20,4,0,Empty
2018,1,21,15,20,Empty
2018,1,21,15,26,Empty
2018,1,21,16,2,Empty
2018,1,29,21,35,Occupied
2018,1,29,21,47,Empty
2018,1,29,21,59,Empty
2018,1,7,21,45,Empty
2018,1,27,22,30,Empty
2018,1,28,2,33,Empty
2018,1,28,3,6,Occupied
2018,2,16,7,27,Empty
2018,1,19,19,19,Empty
2018,1,19,19,50,Empty
2018,1,19,19,56,Empty
2018,1,19,20,26,Empty
2018,1,19,22,21,Empty
2018,2,8,21,5,Empty
2018,2,8,22,1,Occupied
2018,2,9,0,42,Empty
2018,2,9,1,0,Empty
2018,2,9,1,18,Empty
2018,2,9,1,37,Empty
2018,2,9,2,2,Empty
2018,2,9,16,9,Occupied
2018,2,9,16,14,Occupied
2018,2,9,16,32,Empty
2018,2,9,16,56,Empty
2018,2,9,18,15,Occupied
2018,2,9,18,42,Empty
2018,2,9,18,58,Occupied
2018,2,9,19,26,Empty
2018,2,12,13,44,Occupied
2018,1,13,7,17,Empty
2018,2,8,5,53,Empty
2018,2,8,6,0,Empty
2018,2,8,7,41,Empty
2018,2,8,11,25,Occupied
2018,2,11,9,34,Empty
2018,2,11,9,40,Empty
2018,2,15,5,3,Empty
2018,2,7,23,3,Empty
2018,1,28,20,23,Empty
2018,2,17,7,4,Occupied
2018,2,11,13,59,Occupied
2018,2,11,14,51,Empty
2018,2,11,15,16,Empty
2018,2,13,1,28,Occupied
2018,2,13,4,16,Occupied
2018,1,22,18,20,Occupied
2018,1,22,19,41,Occupied
2018,1,22,21,15,Occupied
2018,1,22,21,30,Occupied
2018,2,9,7,8,Empty
2018,2,10,9,1,Empty
2018,2,10,10,47,Empty
2018,2,16,7,33,Empty
2018,1,29,21,1,Occupied
2018,1,29,22,35,Empty
2018,1,23,7,2,Empty
2018,1,12,16,12,Empty
2018,1,12,16,31,Empty
2018,1,12,17,14,Empty
2018,1,12,17,46,Empty
2018,1,12,18,31,Empty
2018,1,12,18,46,Occupied
2018,1,13,16,23,Empty
2018,2,9,14,18,Empty
2018,2,9,15,15,Empty
2018,1,22,18,43,Occupied
2018,1,22,18,48,Occupied
2018,1,22,21,35,Occupied
2018,1,23,0,16,Empty
2018,1,27,4,28,Empty
2018,1,27,5,3,Empty
2018,2,13,20,4,Empty
2018,2,13,20,20,Occupied
2018,1,26,14,49,Occupied
2018,2,10,23,49,Empty
2018,2,10,23,54,Occupied
2018,2,11,0,6,Empty
2018,2,11,1,40,Occupied
2018,2,11,2,0,Empty
2018,1,29,14,13,Empty
2018,1,20,9,25,Empty
